Month,year,Population,Participation rate(%),Labour Force,Employed,Unemployed,Unemployment Rate (%),Region,country/province ,date 
Oct,2017,95,63.6,60,56,5,7.4,oxford,Ontario,Oct-2017
Nov,2017,95,64.1,61,57,4,6.4,oxford,Ontario,Nov-2017
Dec,2017,95,64.3,61,57,4,6.9,oxford,Ontario,Dec-2017
Jan,2018,96,64,61,57,4,7,oxford,Ontario,Jan-2018
Feb,2018,96,64.5,62,57,4,6.9,oxford,Ontario,Feb-2018
Mar,2018,96,65.1,62,58,4,6.5,oxford,Ontario,Mar-2018
Apr,2018,96,65,63,59,4,5.9,oxford,Ontario,Apr-2018
May,2018,96,64.9,63,59,4,5.9,oxford,Ontario,May-2018
Jun,2018,96,65.5,63,59,4,6,oxford,Ontario,Jun-2018
Jul,2018,97,66.3,64,60,4,6,oxford,Ontario,Jul-2018
Aug,2018,97,66,64,60,4,6,oxford,Ontario,Aug-2018
Sep,2018,97,66.5,65,61,4,5.9,oxford,Ontario,Sep-2018
Oct,2018,97,65.9,64,61,3,5.2,oxford,Ontario,Oct-2018
Nov,2018,97,65.2,63,60,4,5.8,oxford,Ontario,Nov-2018
Dec,2018,97,64.9,63,60,4,5.7,oxford,Ontario,Dec-2018
Jan,2019,97,65,63,60,4,5.8,oxford,Ontario,Jan-2019
Feb,2019,98,65.2,64,60,4,5.7,oxford,Ontario,Feb-2019
Mar,2019,98,64.6,63,59,4,5.8,oxford,Ontario,Mar-2019
Apr,2019,98,64,63,59,4,5.9,oxford,Ontario,Apr-2019
May,2019,98,62.6,61,58,3,4.9,oxford,Ontario,May-2019
Jun,2019,98,62.4,61,58,3,4.8,oxford,Ontario,Jun-2019
Jul,2019,98,62.3,61,58,4,5.8,oxford,Ontario,Jul-2019
Aug,2019,99,63.5,63,59,4,6.2,oxford,Ontario,Aug-2019
Sep,2019,99,63.6,63,59,4,6.6,oxford,Ontario,Sep-2019
Oct,2019,99,64,63,59,4,6.2,oxford,Ontario,Oct-2019
Nov,2019,99,64.8,64,60,4,5.9,oxford,Ontario,Nov-2019
Dec,2019,99,64.9,64,61,4,5.7,oxford,Ontario,Dec-2019
Jan,2020,100,65.2,65,62,3,5.3,oxford,Ontario,Jan-2020
Feb,2020,100,65.3,65,61,4,5.7,oxford,Ontario,Feb-2020
Mar,2020,100,63.8,64,58,5,8.2,oxford,Ontario,Mar-2020
Apr,2020,100,59.9,60,51,9,14.4,oxford,Ontario,Apr-2020
May,2020,100,61.8,62,51,10,16.8,oxford,Ontario,May-2020
Jun,2020,100,64.4,65,57,8,12.2,oxford,Ontario,Jun-2020
Jul,2020,100,64.9,65,59,6,9.2,oxford,Ontario,Jul-2020
Aug,2020,101,65,65,60,5,8.3,oxford,Ontario,Aug-2020
Sep,2020,101,65.6,66,61,6,8.5,oxford,Ontario,Sep-2020
Oct,2020,101,65.1,66,61,5,7.2,oxford,Ontario,Oct-2020
Nov,2020,101,64.6,65,61,5,7.5,oxford,Ontario,Nov-2020
Dec,2020,101,66,67,61,6,8.7,oxford,Ontario,Dec-2020
Jan,2021,102,65.6,67,61,6,8.4,oxford,Ontario,Jan-2021
Feb,2021,102,66.9,68,63,5,7.6,oxford,Ontario,Feb-2021
Mar,2021,102,67.3,69,64,4,6.5,oxford,Ontario,Mar-2021
Apr,2021,102,67.7,69,63,6,9.2,oxford,Ontario,Apr-2021
May,2021,102,68,70,63,7,10.2,oxford,Ontario,May-2021
Jun,2021,103,68.7,71,64,6,8.6,oxford,Ontario,Jun-2021
Jul,2021,103,68.2,70,65,5,7.7,oxford,Ontario,Jul-2021
Aug,2021,103,67.7,70,65,5,7.3,oxford,Ontario,Aug-2021
Sep,2021,103,67.5,70,64,6,8.3,oxford,Ontario,Sep-2021
Oct,2021,103,67.6,70,64,6,8,oxford,Ontario,Oct-2021
Nov,2021,104,68.4,71,66,5,7.2,oxford,Ontario,Nov-2021
Dec,2021,104,69.3,72,67,5,6.6,oxford,Ontario,Dec-2021
Jan,2022,104,68.9,72,66,5,7.2,oxford,Ontario,Jan-2022
Feb,2022,104,68.9,72,68,4,5.2,oxford,Ontario,Feb-2022
Mar,2022,104,69.2,72,69,4,4.9,oxford,Ontario,Mar-2022
Apr,2022,104,69.6,73,69,4,5.3,oxford,Ontario,Apr-2022
May,2022,105,69.9,73,69,5,6.2,oxford,Ontario,May-2022
Jun,2022,105,69.1,72,67,5,6.7,oxford,Ontario,Jun-2022
Jul,2022,105,68.6,72,67,5,6.4,oxford,Ontario,Jul-2022
Aug,2022,105,67.9,71,66,5,6.8,oxford,Ontario,Aug-2022
Sep,2022,105,67.9,71,67,5,6.8,oxford,Ontario,Sep-2022
Oct,2022,105,68,72,67,5,6.7,oxford,Ontario,Oct-2022
Nov,2022,105,67.7,71,67,4,5.8,oxford,Ontario,Nov-2022
Dec,2022,106,67.7,72,68,4,5.3,oxford,Ontario,Dec-2022
Jan,2023,106,68.2,72,68,4,5.1,oxford,Ontario,Jan-2023
Feb,2023,106,68.2,72,69,4,5.3,oxford,Ontario,Feb-2023
Mar,2023,106,67.2,71,68,4,5.4,oxford,Ontario,Mar-2023
Apr,2023,106,66.4,71,67,4,5.1,oxford,Ontario,Apr-2023
May,2023,107,66,70,67,4,5.6,oxford,Ontario,May-2023
Jun,2023,107,66.1,71,67,4,5.7,oxford,Ontario,Jun-2023
Jul,2023,107,66.2,71,67,4,6.2,oxford,Ontario,Jul-2023
Aug,2023,108,67.2,72,68,5,6.2,oxford,Ontario,Aug-2023
Sep,2023,108,68.1,74,69,5,6.6,oxford,Ontario,Sep-2023
Oct,2023,108,68.4,74,69,5,6.6,oxford,Ontario,Oct-2023
Nov,2023,109,67.8,74,69,5,6.9,oxford,Ontario,Nov-2023
Dec,2023,109,67.6,74,69,5,6.5,oxford,Ontario,Dec-2023
Jan,2024,109,67.7,74,69,5,6.4,oxford,Ontario,Jan-2024
Feb,2024,110,68,75,70,5,6.6,oxford,Ontario,Feb-2024
Mar,2024,110,68.4,75,70,5,6.7,oxford,Ontario,Mar-2024
Apr,2024,111,68,75,70,5,6.3,oxford,Ontario,Apr-2024
May,2024,111,67.9,75,71,5,6.1,oxford,Ontario,May-2024
Jun,2024,111,67.5,75,70,5,6.7,oxford,Ontario,Jun-2024
Jul,2024,112,67,75,70,5,6.9,oxford,Ontario,Jul-2024
Aug,2024,112,66.1,74,68,6,7.6,oxford,Ontario,Aug-2024
Sep,2024,112,66.2,74,69,6,7.6,oxford,Ontario,Sep-2024
Oct,2024,113,66.3,75,69,5,7.1,oxford,Ontario,Oct-2024
Nov,2024,113,67.2,76,70,6,7.5,oxford,Ontario,Nov-2024
Dec,2024,113,67.5,76,71,6,7.2,oxford,Ontario,Dec-2024
Jan,2025,113,67.7,77,71,5,6.9,oxford,Ontario,Jan-2025
Feb,2025,113,66.9,76,71,5,6.2,oxford,Ontario,Feb-2025
Mar,2025,114,66,75,71,4,5.9,oxford,Ontario,Mar-2025
Apr,2025,114,65.3,74,69,5,6.5,oxford,Ontario,Apr-2025
May,2025,114,65.3,74,69,5,6.9,oxford,Ontario,May-2025
Jan,2006,70,69.3,48,43,5,10.2,Elgin,Ontario,Jan-2006
Feb,2006,70,68.8,48,43,5,10.3,Elgin,Ontario,Feb-2006
Mar,2006,70,69.4,48,44,5,9.6,Elgin,Ontario,Mar-2006
Apr,2006,70,70.2,49,45,4,7.9,Elgin,Ontario,Apr-2006
May,2006,70,70,49,46,3,6.5,Elgin,Ontario,May-2006
Jun,2006,70,69.3,49,46,3,6,Elgin,Ontario,Jun-2006
Jul,2006,70,68.5,48,45,3,6.7,Elgin,Ontario,Jul-2006
Aug,2006,70,68,48,44,4,8.1,Elgin,Ontario,Aug-2006
Sep,2006,70,68.7,48,45,3,6.7,Elgin,Ontario,Sep-2006
Oct,2006,70,69.4,49,45,4,8.5,Elgin,Ontario,Oct-2006
Nov,2006,70,70.2,49,45,5,9.5,Elgin,Ontario,Nov-2006
Dec,2006,70,70.7,50,46,4,7.3,Elgin,Ontario,Dec-2006
Jan,2007,71,70.3,50,46,4,7.1,Elgin,Ontario,Jan-2007
Feb,2007,71,69.8,49,46,4,7.5,Elgin,Ontario,Feb-2007
Mar,2007,71,69.2,49,45,4,7.5,Elgin,Ontario,Mar-2007
Apr,2007,71,68.8,49,45,4,7.6,Elgin,Ontario,Apr-2007
May,2007,71,68.1,48,44,4,7.6,Elgin,Ontario,May-2007
Jun,2007,71,67.4,48,44,4,8,Elgin,Ontario,Jun-2007
Jul,2007,71,67.6,48,44,4,7.6,Elgin,Ontario,Jul-2007
Aug,2007,71,68.1,48,45,4,7.6,Elgin,Ontario,Aug-2007
Sep,2007,71,69,49,45,4,8.1,Elgin,Ontario,Sep-2007
Oct,2007,71,69.3,49,45,4,7.9,Elgin,Ontario,Oct-2007
Nov,2007,71,69.2,49,45,4,8.8,Elgin,Ontario,Nov-2007
Dec,2007,71,68.9,49,44,5,9.4,Elgin,Ontario,Dec-2007
Jan,2008,71,68.6,49,44,5,9.7,Elgin,Ontario,Jan-2008
Feb,2008,71,68.4,49,44,4,9.1,Elgin,Ontario,Feb-2008
Mar,2008,71,68,48,44,4,8.8,Elgin,Ontario,Mar-2008
Apr,2008,71,67.7,48,42,6,11.8,Elgin,Ontario,Apr-2008
May,2008,71,67.3,48,43,4,9.1,Elgin,Ontario,May-2008
Jun,2008,71,66.9,48,44,4,7.9,Elgin,Ontario,Jun-2008
Jul,2008,71,66.6,47,44,4,7.7,Elgin,Ontario,Jul-2008
Aug,2008,71,66.9,48,44,3,7,Elgin,Ontario,Aug-2008
Sep,2008,71,67.2,48,44,4,8.4,Elgin,Ontario,Sep-2008
Oct,2008,71,67.1,48,44,4,8.8,Elgin,Ontario,Oct-2008
Nov,2008,71,66.6,47,43,5,9.7,Elgin,Ontario,Nov-2008
Dec,2008,71,66.7,47,41,6,13,Elgin,Ontario,Dec-2008
Jan,2009,71,66.6,47,41,6,13.5,Elgin,Ontario,Jan-2009
Feb,2009,71,66.7,47,41,7,14.6,Elgin,Ontario,Feb-2009
Mar,2009,71,66.5,47,40,7,15.1,Elgin,Ontario,Mar-2009
Apr,2009,71,65.7,47,40,6,13.7,Elgin,Ontario,Apr-2009
May,2009,71,66.4,47,40,7,15.5,Elgin,Ontario,May-2009
Jun,2009,71,66.4,47,40,7,15.6,Elgin,Ontario,Jun-2009
Jul,2009,71,66.3,47,40,7,15.3,Elgin,Ontario,Jul-2009
Aug,2009,71,65.7,47,40,7,14,Elgin,Ontario,Aug-2009
Sep,2009,71,65.9,47,40,7,14.1,Elgin,Ontario,Sep-2009
Oct,2009,71,66.3,47,41,7,13.7,Elgin,Ontario,Oct-2009
Nov,2009,71,67,48,41,6,13.3,Elgin,Ontario,Nov-2009
Dec,2009,71,66.2,47,41,6,12.2,Elgin,Ontario,Dec-2009
Jan,2010,71,66.1,47,41,6,12.1,Elgin,Ontario,Jan-2010
Feb,2010,71,65.5,47,41,6,12.4,Elgin,Ontario,Feb-2010
Mar,2010,71,65.2,47,41,6,12.1,Elgin,Ontario,Mar-2010
Apr,2010,71,65.4,47,41,6,11.8,Elgin,Ontario,Apr-2010
May,2010,71,65.7,47,42,5,11.1,Elgin,Ontario,May-2010
Jun,2010,71,65.8,47,42,5,10.2,Elgin,Ontario,Jun-2010
Jul,2010,71,65.5,47,42,5,10.4,Elgin,Ontario,Jul-2010
Aug,2010,72,65.1,47,42,5,10.8,Elgin,Ontario,Aug-2010
Sep,2010,72,64.1,46,40,6,12.1,Elgin,Ontario,Sep-2010
Oct,2010,72,64.2,46,41,5,10.6,Elgin,Ontario,Oct-2010
Nov,2010,72,64.7,46,42,5,10.3,Elgin,Ontario,Nov-2010
Dec,2010,72,64.9,46,42,5,10.7,Elgin,Ontario,Dec-2010
Jan,2011,72,64.5,46,41,5,10.5,Elgin,Ontario,Jan-2011
Feb,2011,72,63.7,46,41,5,10.5,Elgin,Ontario,Feb-2011
Mar,2011,72,64.2,46,41,5,10.5,Elgin,Ontario,Mar-2011
Apr,2011,72,64.9,47,42,5,10,Elgin,Ontario,Apr-2011
May,2011,72,64.7,46,42,5,10.1,Elgin,Ontario,May-2011
Jun,2011,72,64.5,46,42,5,10.2,Elgin,Ontario,Jun-2011
Jul,2011,72,64.2,46,42,5,10,Elgin,Ontario,Jul-2011
Aug,2011,72,64.5,46,42,5,9.7,Elgin,Ontario,Aug-2011
Sep,2011,72,64.7,47,42,5,9.8,Elgin,Ontario,Sep-2011
Oct,2011,72,64.2,46,41,5,11,Elgin,Ontario,Oct-2011
Nov,2011,72,64,46,41,6,12,Elgin,Ontario,Nov-2011
Dec,2011,72,63.6,46,40,5,11.6,Elgin,Ontario,Dec-2011
Jan,2012,72,63.7,46,40,6,12,Elgin,Ontario,Jan-2012
Feb,2012,72,63.1,45,40,5,11.7,Elgin,Ontario,Feb-2012
Mar,2012,72,62.9,45,41,5,10.4,Elgin,Ontario,Mar-2012
Apr,2012,72,63.6,46,41,5,10,Elgin,Ontario,Apr-2012
May,2012,72,64,46,42,4,9.6,Elgin,Ontario,May-2012
Jun,2012,72,64.4,46,42,4,9.2,Elgin,Ontario,Jun-2012
Jul,2012,72,64.7,47,42,4,9.1,Elgin,Ontario,Jul-2012
Aug,2012,72,64.7,47,42,4,9.3,Elgin,Ontario,Aug-2012
Sep,2012,72,65,47,43,4,9.1,Elgin,Ontario,Sep-2012
Oct,2012,72,64.6,47,42,5,10.2,Elgin,Ontario,Oct-2012
Nov,2012,72,64.1,46,42,5,10.2,Elgin,Ontario,Nov-2012
Dec,2012,72,63.6,46,41,5,10,Elgin,Ontario,Dec-2012
Jan,2013,72,63.4,46,41,4,9.3,Elgin,Ontario,Jan-2013
Feb,2013,72,63.6,46,41,4,9.7,Elgin,Ontario,Feb-2013
Mar,2013,72,64.1,46,41,5,10.5,Elgin,Ontario,Mar-2013
Apr,2013,72,64.2,46,42,5,10.3,Elgin,Ontario,Apr-2013
May,2013,72,64.5,47,42,5,9.8,Elgin,Ontario,May-2013
Jun,2013,72,64.6,47,42,5,9.8,Elgin,Ontario,Jun-2013
Jul,2013,72,64.1,46,42,5,9.7,Elgin,Ontario,Jul-2013
Aug,2013,72,63.7,46,42,5,9.8,Elgin,Ontario,Aug-2013
Sep,2013,72,62.8,45,41,4,9,Elgin,Ontario,Sep-2013
Oct,2013,72,62.6,45,41,4,9.3,Elgin,Ontario,Oct-2013
Nov,2013,72,62.5,45,41,4,8.5,Elgin,Ontario,Nov-2013
Dec,2013,72,62.7,45,41,4,8.9,Elgin,Ontario,Dec-2013
Jan,2014,72,62.5,45,41,4,8.9,Elgin,Ontario,Jan-2014
Feb,2014,72,62.8,45,41,4,9.7,Elgin,Ontario,Feb-2014
Mar,2014,72,62.7,45,41,4,9.3,Elgin,Ontario,Mar-2014
Apr,2014,72,63.1,46,42,4,9.1,Elgin,Ontario,Apr-2014
May,2014,72,63,46,42,4,8.3,Elgin,Ontario,May-2014
Jun,2014,72,63,46,42,3,7.4,Elgin,Ontario,Jun-2014
Jul,2014,72,63.5,46,43,4,7.5,Elgin,Ontario,Jul-2014
Aug,2014,72,63.1,46,42,3,7.4,Elgin,Ontario,Aug-2014
Sep,2014,73,62.7,46,42,3,7.6,Elgin,Ontario,Sep-2014
Oct,2014,73,62.2,45,42,3,7.2,Elgin,Ontario,Oct-2014
Nov,2014,73,61.8,45,41,4,7.8,Elgin,Ontario,Nov-2014
Dec,2014,73,61.9,45,41,3,7.6,Elgin,Ontario,Dec-2014
Jan,2015,73,61.9,45,41,4,7.8,Elgin,Ontario,Jan-2015
Feb,2015,73,62.3,45,41,4,8.3,Elgin,Ontario,Feb-2015
Mar,2015,73,62.2,45,41,4,8.4,Elgin,Ontario,Mar-2015
Apr,2015,73,61.3,44,41,3,7.8,Elgin,Ontario,Apr-2015
May,2015,73,61,44,42,3,6,Elgin,Ontario,May-2015
Jun,2015,73,62.2,45,43,2,5.4,Elgin,Ontario,Jun-2015
Jul,2015,73,63.5,46,44,3,5.5,Elgin,Ontario,Jul-2015
Aug,2015,73,64.6,47,44,3,5.8,Elgin,Ontario,Aug-2015
Sep,2015,73,64.2,47,43,4,7.4,Elgin,Ontario,Sep-2015
Oct,2015,73,64.2,47,43,4,8,Elgin,Ontario,Oct-2015
Nov,2015,73,63.4,46,42,4,8.2,Elgin,Ontario,Nov-2015
Dec,2015,73,62.8,46,43,3,7.2,Elgin,Ontario,Dec-2015
Jan,2016,73,62.6,46,43,3,6.6,Elgin,Ontario,Jan-2016
Feb,2016,73,62.7,46,42,3,7.4,Elgin,Ontario,Feb-2016
Mar,2016,73,63.1,46,43,4,7.8,Elgin,Ontario,Mar-2016
Apr,2016,73,63.6,46,42,4,8.9,Elgin,Ontario,Apr-2016
May,2016,73,63.5,47,43,3,6.9,Elgin,Ontario,May-2016
Jun,2016,73,63.9,47,44,3,6.5,Elgin,Ontario,Jun-2016
Jul,2016,73,63.4,47,44,3,6.4,Elgin,Ontario,Jul-2016
Aug,2016,73,63.6,47,44,3,6.7,Elgin,Ontario,Aug-2016
Sep,2016,74,62.8,46,43,3,6.3,Elgin,Ontario,Sep-2016
Oct,2016,74,62.2,46,43,3,6,Elgin,Ontario,Oct-2016
Nov,2016,74,61.6,45,42,3,6.9,Elgin,Ontario,Nov-2016
Dec,2016,74,61.5,45,42,3,7.5,Elgin,Ontario,Dec-2016
Jan,2017,74,61.7,46,42,4,8,Elgin,Ontario,Jan-2017
Feb,2017,74,62.1,46,43,3,6.9,Elgin,Ontario,Feb-2017
Mar,2017,74,63.3,47,44,3,7.1,Elgin,Ontario,Mar-2017
Apr,2017,74,63.3,47,44,3,6.7,Elgin,Ontario,Apr-2017
May,2017,74,63.9,47,44,3,7.2,Elgin,Ontario,May-2017
Jun,2017,74,63.1,47,44,3,6.3,Elgin,Ontario,Jun-2017
Jul,2017,74,62.9,47,44,3,6,Elgin,Ontario,Jul-2017
Aug,2017,75,61.4,46,43,3,5.4,Elgin,Ontario,Aug-2017
Sep,2017,75,60.8,45,43,3,5.9,Elgin,Ontario,Sep-2017
Oct,2017,75,60.8,45,43,3,6.5,Elgin,Ontario,Oct-2017
Nov,2017,75,61.3,46,43,3,6.9,Elgin,Ontario,Nov-2017
Dec,2017,75,61.5,46,43,4,7.6,Elgin,Ontario,Dec-2017
Jan,2018,75,61.2,46,42,4,8.1,Elgin,Ontario,Jan-2018
Feb,2018,75,61.7,46,43,4,8.1,Elgin,Ontario,Feb-2018
Mar,2018,75,62.3,47,43,4,7.4,Elgin,Ontario,Mar-2018
Apr,2018,75,62.2,47,44,3,6.5,Elgin,Ontario,Apr-2018
May,2018,75,62.2,47,44,3,6.5,Elgin,Ontario,May-2018
Jun,2018,76,62.8,47,44,3,6.4,Elgin,Ontario,Jun-2018
Jul,2018,76,63.5,48,45,3,6.4,Elgin,Ontario,Jul-2018
Aug,2018,76,63.2,48,45,3,6.4,Elgin,Ontario,Aug-2018
Sep,2018,76,63.7,48,45,3,6.2,Elgin,Ontario,Sep-2018
Oct,2018,76,63.2,48,45,3,5.4,Elgin,Ontario,Oct-2018
Nov,2018,76,62.5,48,45,3,6.3,Elgin,Ontario,Nov-2018
Dec,2018,76,62.2,47,44,3,6.4,Elgin,Ontario,Dec-2018
Jan,2019,76,62.3,48,44,3,6.9,Elgin,Ontario,Jan-2019
Feb,2019,76,62.4,48,44,3,7,Elgin,Ontario,Feb-2019
Mar,2019,76,61.9,47,44,3,6.7,Elgin,Ontario,Mar-2019
Apr,2019,77,61.3,47,44,3,6.3,Elgin,Ontario,Apr-2019
May,2019,77,60,46,44,2,5.3,Elgin,Ontario,May-2019
Jun,2019,77,59.8,46,44,2,5.1,Elgin,Ontario,Jun-2019
Jul,2019,77,59.6,46,43,3,6.5,Elgin,Ontario,Jul-2019
Aug,2019,77,60.8,47,44,3,6.8,Elgin,Ontario,Aug-2019
Sep,2019,77,60.9,47,44,3,7.2,Elgin,Ontario,Sep-2019
Oct,2019,77,61.3,47,44,4,7.7,Elgin,Ontario,Oct-2019
Nov,2019,78,62,48,45,3,6.2,Elgin,Ontario,Nov-2019
Dec,2019,78,62.1,48,45,3,6.3,Elgin,Ontario,Dec-2019
Jan,2020,78,62.4,49,46,3,6.1,Elgin,Ontario,Jan-2020
Feb,2020,78,62.4,49,45,3,6.6,Elgin,Ontario,Feb-2020
Mar,2020,78,61,48,43,4,9.3,Elgin,Ontario,Mar-2020
Apr,2020,78,57.3,45,38,7,16.2,Elgin,Ontario,Apr-2020
May,2020,78,59.1,46,39,8,16.3,Elgin,Ontario,May-2020
Jun,2020,78,61.7,48,43,6,12.1,Elgin,Ontario,Jun-2020
Jul,2020,79,62.1,49,44,4,9,Elgin,Ontario,Jul-2020
Aug,2020,79,62.2,49,45,4,7.8,Elgin,Ontario,Aug-2020
Sep,2020,79,62.8,49,46,4,7.6,Elgin,Ontario,Sep-2020
Oct,2020,79,62.3,49,46,4,7.1,Elgin,Ontario,Oct-2020
Nov,2020,79,61.8,49,45,4,7.6,Elgin,Ontario,Nov-2020
Dec,2020,79,63.2,50,45,5,9.1,Elgin,Ontario,Dec-2020
Jan,2021,79,62.8,50,45,5,9.1,Elgin,Ontario,Jan-2021
Feb,2021,79,64,51,47,4,8.1,Elgin,Ontario,Feb-2021
Mar,2021,80,64.4,51,48,3,6.6,Elgin,Ontario,Mar-2021
Apr,2021,80,64.8,52,47,5,9.3,Elgin,Ontario,Apr-2021
May,2021,80,65.1,52,47,5,10,Elgin,Ontario,May-2021
Jun,2021,80,65.8,53,48,5,9.2,Elgin,Ontario,Jun-2021
Jul,2021,80,65.3,52,48,4,8.1,Elgin,Ontario,Jul-2021
Aug,2021,80,64.8,52,48,4,7.5,Elgin,Ontario,Aug-2021
Sep,2021,80,64.6,52,48,4,7.8,Elgin,Ontario,Sep-2021
Oct,2021,80,64.7,52,48,4,7.8,Elgin,Ontario,Oct-2021
Nov,2021,81,65.5,53,49,4,7.5,Elgin,Ontario,Nov-2021
Dec,2021,81,66.4,54,50,4,6.9,Elgin,Ontario,Dec-2021
Jan,2022,81,66,53,49,4,8.1,Elgin,Ontario,Jan-2022
Feb,2022,81,66,53,50,3,6,Elgin,Ontario,Feb-2022
Mar,2022,81,66.2,54,51,3,5.5,Elgin,Ontario,Mar-2022
Apr,2022,81,66.7,54,51,3,5.8,Elgin,Ontario,Apr-2022
May,2022,81,67,54,51,3,6,Elgin,Ontario,May-2022
Jun,2022,81,66.2,54,50,3,6.2,Elgin,Ontario,Jun-2022
Jul,2022,81,65.7,53,50,3,6.3,Elgin,Ontario,Jul-2022
Aug,2022,81,65.1,53,49,4,6.7,Elgin,Ontario,Aug-2022
Sep,2022,81,65.1,53,50,3,6.3,Elgin,Ontario,Sep-2022
Oct,2022,81,65.1,53,50,3,6.3,Elgin,Ontario,Oct-2022
Nov,2022,82,64.8,53,50,3,5.9,Elgin,Ontario,Nov-2022
Dec,2022,82,64.9,53,50,3,5.5,Elgin,Ontario,Dec-2022
Jan,2023,82,65.3,53,50,3,5.7,Elgin,Ontario,Jan-2023
Feb,2023,82,65.3,53,50,3,6,Elgin,Ontario,Feb-2023
Mar,2023,82,64.4,53,50,3,6,Elgin,Ontario,Mar-2023
Apr,2023,82,63.6,52,49,3,5.5,Elgin,Ontario,Apr-2023
May,2023,82,63.3,52,49,3,5.5,Elgin,Ontario,May-2023
Jun,2023,82,63.3,52,49,3,5.8,Elgin,Ontario,Jun-2023
Jul,2023,83,63.4,52,49,3,6.4,Elgin,Ontario,Jul-2023
Aug,2023,83,64.3,53,50,3,6.4,Elgin,Ontario,Aug-2023
Sep,2023,83,65.2,54,51,4,6.4,Elgin,Ontario,Sep-2023
Oct,2023,83,65.5,55,51,4,6.3,Elgin,Ontario,Oct-2023
Nov,2023,84,65,54,51,4,6.6,Elgin,Ontario,Nov-2023
Dec,2023,84,64.7,54,51,4,6.4,Elgin,Ontario,Dec-2023
Jan,2024,84,64.8,55,51,4,6.8,Elgin,Ontario,Jan-2024
Feb,2024,84,65.1,55,51,4,6.9,Elgin,Ontario,Feb-2024
Mar,2024,85,65.4,55,52,4,7.1,Elgin,Ontario,Mar-2024
Apr,2024,85,65.1,55,52,4,6.7,Elgin,Ontario,Apr-2024
May,2024,85,64.9,55,52,4,6.4,Elgin,Ontario,May-2024
Jun,2024,86,64.6,55,51,4,7,Elgin,Ontario,Jun-2024
Jul,2024,86,64.1,55,51,4,7.7,Elgin,Ontario,Jul-2024
Aug,2024,86,63.3,55,50,5,8.6,Elgin,Ontario,Aug-2024
Sep,2024,86,63.3,55,50,4,8,Elgin,Ontario,Sep-2024
Oct,2024,87,63.5,55,51,4,7.5,Elgin,Ontario,Oct-2024
Nov,2024,87,64.3,56,51,4,7.9,Elgin,Ontario,Nov-2024
Dec,2024,87,64.6,56,52,4,7.9,Elgin,Ontario,Dec-2024
Jan,2025,87,64.8,56,52,4,7.8,Elgin,Ontario,Jan-2025
Feb,2025,87,64.1,56,52,4,7.2,Elgin,Ontario,Feb-2025
Mar,2025,87,63.2,55,52,4,6.5,Elgin,Ontario,Mar-2025
Apr,2025,87,62.5,55,51,4,6.7,Elgin,Ontario,Apr-2025
May,2025,88,62.5,55,51,4,7.1,Elgin,Ontario,May-2025
Jan,2006,356,68.5,244,227,17,7,Middlesex,Ontario,Jan-2006
Feb,2006,356,68,242,226,16,6.6,Middlesex,Ontario,Feb-2006
Mar,2006,356,68.6,245,230,15,6.1,Middlesex,Ontario,Mar-2006
Apr,2006,357,69.5,248,232,16,6.4,Middlesex,Ontario,Apr-2006
May,2006,357,69.3,248,234,14,5.6,Middlesex,Ontario,May-2006
Jun,2006,358,68.7,246,233,13,5.3,Middlesex,Ontario,Jun-2006
Jul,2006,358,67.9,243,230,14,5.7,Middlesex,Ontario,Jul-2006
Aug,2006,359,67.5,242,228,14,5.9,Middlesex,Ontario,Aug-2006
Sep,2006,359,68.2,245,231,14,5.8,Middlesex,Ontario,Sep-2006
Oct,2006,359,69,248,234,14,5.6,Middlesex,Ontario,Oct-2006
Nov,2006,359,69.9,251,237,14,5.5,Middlesex,Ontario,Nov-2006
Dec,2006,360,70.3,253,239,14,5.6,Middlesex,Ontario,Dec-2006
Jan,2007,360,70.1,252,238,15,5.7,Middlesex,Ontario,Jan-2007
Feb,2007,360,69.6,250,237,14,5.4,Middlesex,Ontario,Feb-2007
Mar,2007,360,69,249,235,14,5.5,Middlesex,Ontario,Mar-2007
Apr,2007,360,68.7,248,234,13,5.4,Middlesex,Ontario,Apr-2007
May,2007,361,68,245,232,14,5.5,Middlesex,Ontario,May-2007
Jun,2007,361,67.4,243,230,13,5.5,Middlesex,Ontario,Jun-2007
Jul,2007,361,67.7,245,231,13,5.3,Middlesex,Ontario,Jul-2007
Aug,2007,362,68.1,246,233,14,5.5,Middlesex,Ontario,Aug-2007
Sep,2007,362,69,250,236,14,5.4,Middlesex,Ontario,Sep-2007
Oct,2007,362,69.3,251,237,14,5.5,Middlesex,Ontario,Oct-2007
Nov,2007,362,69.3,251,236,15,6,Middlesex,Ontario,Nov-2007
Dec,2007,363,69,250,234,16,6.5,Middlesex,Ontario,Dec-2007
Jan,2008,363,68.8,250,233,16,6.5,Middlesex,Ontario,Jan-2008
Feb,2008,363,68.6,249,233,16,6.4,Middlesex,Ontario,Feb-2008
Mar,2008,363,68.2,248,232,16,6.4,Middlesex,Ontario,Mar-2008
Apr,2008,364,67.9,247,231,16,6.3,Middlesex,Ontario,Apr-2008
May,2008,364,67.6,246,230,16,6.6,Middlesex,Ontario,May-2008
Jun,2008,364,67.2,245,228,17,7,Middlesex,Ontario,Jun-2008
Jul,2008,365,66.9,244,228,16,6.4,Middlesex,Ontario,Jul-2008
Aug,2008,365,67.2,245,231,15,6,Middlesex,Ontario,Aug-2008
